id,residential_end_uses,commercial_end_uses,transportation_end_uses,industrial_end_uses
electricity_pools_and_spas,x,,,
electricity_clothes_washing,x,,,
electricity_cooling_and_heating,x,x,,
electricity_non_pc_office_equipment,,x,,
electricity_dishwasher,x,,,
electricity_computers_and_tvs,x,,,
electricity_drying,x,,,
electricity_cooking,x,x,,
electricity_fans_and_pumps,x,,,
electricity_lighting,x,x,,
electricity_miscellaneous_electrical_loads,x,x,,
electricity_refrigeration,x,x,,
electricity_water_heating,x,x,,
electricity_ev_ldv_home_l1,,,x,
electricity_ev_ldv_home_l2,,,x,
electricity_ev_ldv_work_l1,,,x,
electricity_ev_ldv_work_l2,,,x,
electricity_ev_ldv_public_l2,,,x,
electricity_ev_ldv_public_dcfc,,,x,
electricity_ev_ldv_enroute_dcfc,,,x,
electricity_ev_mhdv_depot_ac,,,x,
electricity_ev_mhdv_depot_dc,,,x,
electricity_ev_mhdv_opportunity_dc,,,x,
electricity_ev_mhdv_enroute_dc,,,x,
electricity_rail_transit,,,x,
electricity_conventional_boiler,,,,x
electricity_process_heating,,,,x
electricity_process_cooling_and_refrigeration,,,,x
electricity_machine_drive,,,,x
electricity_electrochemical_processes,,,,x
electricity_other_process,,,,x
electricity_facility_hvac,,,,x
electricity_facility_lighting,,,,x
electricity_other_facility_support,,,,x
electricity_other_nonprocess,,,,x
electricity_chp,,,,
electricity_thermal_dg,,,,
electricity_dpv,,,,
electricity_unspecified,,,,
